PlayerID,ClubID,LigaID,TemporadaID,Net_Fixed_PW_USD,Net_Fixed_PY_USD,Net_Bonus_PY_USD,Net_Total_PY_USD,Adj_Net_Total_PY_2026
3704,20,1,1,312186.0,16233675.0,0.0,16233675.0,17130001.0
14064,20,1,1,249749.0,12986940.0,6493470.0,19480410.0,20556001.0
13737,20,1,1,243505.0,12662266.0,0.0,12662266.0,13361401.0
12841,5,1,1,239759.0,12467462.0,0.0,12467462.0,13155841.0
7496,20,1,1,239759.0,12467462.0,0.0,12467462.0,13155841.0
3127,20,1,1,224774.0,11688246.0,0.0,11688246.0,12333601.0
8645,20,1,1,218530.0,11363572.0,0.0,11363572.0,11991001.0
6149,4,1,1,208124.0,10822450.0,0.0,10822450.0,11420001.0
12108,5,1,1,208124.0,10822450.0,0.0,10822450.0,11420001.0
4780,5,1,1,179819.0,9350597.0,2532453.0,11883050.0,12539161.0
11184,5,1,1,159839.0,8311642.0,2077910.0,10389552.0,10963201.0
7842,4,1,1,159839.0,8311642.0,0.0,8311642.0,8770561.0
13398,20,1,1,149849.0,7792164.0,0.0,7792164.0,8222400.0
4947,5,1,1,147352.0,7662295.0,0.0,7662295.0,8085360.0
1407,20,1,1,145687.0,7575715.0,2164490.0,9740205.0,10278001.0
1275,5,1,1,139443.0,7251041.0,0.0,7251041.0,7651400.0
7277,5,1,1,135281.0,7034592.0,0.0,7034592.0,7423000.0
910,4,1,1,135281.0,7034592.0,0.0,7034592.0,7423000.0
14380,4,1,1,131118.0,6818143.0,0.0,6818143.0,7194600.0
1648,20,1,1,124874.0,6493470.0,0.0,6493470.0,6852000.0
11847,5,1,1,124874.0,6493470.0,0.0,6493470.0,6852000.0
1336,4,1,1,124874.0,6493470.0,0.0,6493470.0,6852000.0
12687,4,1,1,119879.0,6233731.0,0.0,6233731.0,6577920.0
10405,20,1,1,114468.0,5952347.0,0.0,5952347.0,6281000.0
5705,3,1,1,113844.0,5919880.0,0.0,5919880.0,6246740.0
6960,5,1,1,105519.0,5486982.0,0.0,5486982.0,5789940.0
2888,20,1,1,104062.0,5411225.0,0.0,5411225.0,5710000.0
2935,20,1,1,104062.0,5411225.0,0.0,5411225.0,5710000.0
4422,20,1,1,104062.0,5411225.0,0.0,5411225.0,5710000.0
4448,5,1,1,99900.0,5194776.0,1558433.0,6753209.0,7126080.0
9021,20,1,1,98235.0,5108196.0,0.0,5108196.0,5390240.0
11478,5,1,1,93656.0,4870102.0,0.0,4870102.0,5139000.0
8548,20,1,1,93656.0,4870102.0,0.0,4870102.0,5139000.0
4708,5,1,1,89910.0,4675298.0,2077910.0,6753209.0,7126080.0
1132,5,1,1,89910.0,4675298.0,2077910.0,6753209.0,7126080.0
8979,5,1,1,89910.0,4675298.0,0.0,4675298.0,4933440.0
5717,3,1,1,88661.0,4610364.0,0.0,4610364.0,4864920.0
9895,4,1,1,87412.0,4545429.0,0.0,4545429.0,4796400.0
3763,20,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
12232,20,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
1677,4,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
9147,20,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
9172,4,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
9099,4,1,1,83250.0,4328980.0,0.0,4328980.0,4568000.0
4376,20,1,1,81168.0,4220756.0,0.0,4220756.0,4453800.0
3707,20,1,1,72843.0,3787857.0,541122.0,4328980.0,4568000.0
918,20,1,1,72843.0,3787857.0,0.0,3787857.0,3997000.0
12302,5,1,1,69930.0,3636343.0,0.0,3636343.0,3837120.0
4902,4,1,1,68889.0,3582231.0,0.0,3582231.0,3780020.0
10397,19,1,1,67848.0,3528119.0,0.0,3528119.0,3722920.0
4884,5,1,1,67848.0,3528119.0,0.0,3528119.0,3722920.0
8625,19,1,1,66600.0,3463184.0,324673.0,3787857.0,3997000.0
12213,4,1,1,66600.0,3463184.0,0.0,3463184.0,3654400.0
5882,24,1,1,64518.0,3354959.0,649347.0,4004306.0,4225400.0
10081,22,1,1,62437.0,3246735.0,0.0,3246735.0,3426000.0
9089,5,1,1,62437.0,3246735.0,0.0,3246735.0,3426000.0
4081,5,1,1,59940.0,3116866.0,0.0,3116866.0,3288960.0
4816,25,1,1,53280.0,2770547.0,0.0,2770547.0,2923520.0
3204,22,1,1,52864.0,2748902.0,0.0,2748902.0,2900680.0
10358,10,1,1,52447.0,2727257.0,0.0,2727257.0,2877840.0
2086,22,1,1,52031.0,2705612.0,0.0,2705612.0,2855000.0
12826,5,1,1,49950.0,2597388.0,0.0,2597388.0,2740800.0
2035,10,1,1,47869.0,2489164.0,0.0,2489164.0,2626600.0
7025,25,1,1,45787.0,2380939.0,0.0,2380939.0,2512400.0
13977,16,1,1,45787.0,2380939.0,0.0,2380939.0,2512400.0
13149,4,1,1,44955.0,2337649.0,0.0,2337649.0,2466720.0
6511,24,1,1,43914.0,2283537.0,0.0,2283537.0,2409620.0
